State,City,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount
MO,Morley,784,34.5,33333.0,16921.0,257
MO,Morrison,689,43.6,36750.0,19274.0,191
MO,Morrisville,1057,48.0,62736.0,27166.0,101
MO,Moscow Mills,7187,30.5,55333.0,22193.0,1209
MO,Mound City,1706,44.4,57614.0,29247.0,132
MO,Moundville,477,58.7,31953.0,21756.0,42
MO,Mount Vernon,8319,45.5,41408.0,22673.0,1077
MO,Mountain Grove,9459,45.6,32756.0,19864.0,2149
MO,Mountain View,5560,40.2,28250.0,15640.0,1389
MO,Myrtle,480,52.1,40446.0,22072.0,112
MO,Napoleon,666,50.5,61750.0,32750.0,65
